rij,obs,pop,houseType,residenceStatus,kom,sex,label,buurt
59,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L59-h,2860,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt O,https://adamlink.nl/geo/district/buurt-o/140
60,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L60-h,3073,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt P,https://adamlink.nl/geo/district/buurt-p/142
61,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L61-h,2195,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt Q,https://adamlink.nl/geo/district/buurt-q/144
62,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L62-h,2338,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt R,https://adamlink.nl/geo/district/buurt-r/146
63,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L63-h,1771,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt S,https://adamlink.nl/geo/district/buurt-s/145
64,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L64-h,6129,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt T,https://adamlink.nl/geo/district/buurt-t/149
65,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L65-h,4513,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt U,https://adamlink.nl/geo/district/buurt-u/148
66,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L66-h,3084,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt V,https://adamlink.nl/geo/district/buurt-v/147
67,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L67-h,6190,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt W,https://adamlink.nl/geo/district/buurt-w/143
68,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L68-h,3213,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt X,https://adamlink.nl/geo/district/buurt-x/127
69,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L69-h,2316,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt IJ,https://adamlink.nl/geo/district/buurt-y/137
70,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L70-h,3960,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt Z,https://adamlink.nl/geo/district/buurt-z/138
71,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L71-h,3712,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt A.A,https://adamlink.nl/geo/district/buurt-aa/128
72,http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L72-h,3126,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-F,Buurt B.B,https://adamlink.nl/geo/district/buurt-bb/126
