rij,obs,pop,houseType,residenceStatus,kom,sex,description,buurt
48,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F48-h,64,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt E,https://adamlink.nl/geo/district/buurt-bb/126
49,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F49-h,56,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt F,https://adamlink.nl/geo/district/buurt-f/121
51,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F51-h,48,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt G,https://adamlink.nl/geo/district/buurt-g/120
53,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F53-h,97,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt H,https://adamlink.nl/geo/district/buurt-h/129
55,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F55-h,69,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt I,https://adamlink.nl/geo/district/buurt-j/133
56,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F56-h,36,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt K,https://adamlink.nl/geo/district/buurt-k/135
58,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F58-h,163,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt L,https://adamlink.nl/geo/district/buurt-l/119
60,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F60-h,69,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt M,https://adamlink.nl/geo/district/buurt-m/132
62,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F62-h,52,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt N,https://adamlink.nl/geo/district/buurt-n/139
64,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F64-h,45,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt O,https://adamlink.nl/geo/district/buurt-o/140
66,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F66-h,42,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt P,https://adamlink.nl/geo/district/buurt-p/142
67,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F67-h,56,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt Q,https://adamlink.nl/geo/district/buurt-q/144
68,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F68-h,80,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt R,https://adamlink.nl/geo/district/buurt-r/146
70,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F70-h,31,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt S,https://adamlink.nl/geo/district/buurt-s/145
71,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F71-h,136,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt T,https://adamlink.nl/geo/district/buurt-t/149
73,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F73-h,150,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt U,https://adamlink.nl/geo/district/buurt-u/148
75,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F75-h,81,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt V,https://adamlink.nl/geo/district/buurt-v/147
77,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F77-h,165,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt W,https://adamlink.nl/geo/district/buurt-w/143
79,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F79-h,85,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt X,https://adamlink.nl/geo/district/buurt-x/127
80,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F80-h,67,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt IJ,https://adamlink.nl/geo/district/buurt-y/137
82,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F82-h,108,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt Z,https://adamlink.nl/geo/district/buurt-z/138
84,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F84-h,66,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt AA,https://adamlink.nl/geo/district/buurt-aa/128
85,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F85-h,35,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt BB,https://adamlink.nl/geo/district/buurt-bb/126
86,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F86-h,55,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt CC,https://adamlink.nl/geo/district/buurt-cc/125
87,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-F87-h,65,http://lod.cedar-project.nl/vocab/cedar#house-OnbewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt DD,https://adamlink.nl/geo/district/buurt-dd/111
